p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
p,h_1,t_1,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
p,t_1,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
p,p,p,r,r,r,r,r,r,r,r,r,r,r,r,r,r,p,p,p
p,p,p,r,p,p,p,p,p,p,p,p,p,p,p,p,r,p,p,p
p,p,p,r,p,p,p,p,p,p,p,p,p,p,p,p,r,p,p,p
p,p,p,r,p,p,p,p,p,p,p,p,p,p,p,p,r,p,p,p
p,p,p,r,p,p,p,p,p,p,p,p,p,p,p,p,r,p,p,p
p,p,p,r,p,p,p,p,p,p,p,p,p,p,p,p,r,p,p,p
p,p,p,r,p,p,p,p,p,t,t,p,p,p,p,p,r,p,p,p
p,p,p,r,p,p,p,p,p,t,t,p,p,p,p,p,r,p,p,p
p,p,p,r,p,p,p,p,p,p,p,p,p,p,p,p,r,p,p,p
p,p,p,r,p,p,p,p,p,p,p,p,p,p,p,p,r,p,p,p
p,p,p,r,p,p,p,p,p,p,p,p,p,p,p,p,r,p,p,p
p,p,p,r,p,p,p,p,p,p,p,p,p,p,p,p,r,p,p,p
p,p,p,r,p,p,p,p,p,p,p,p,p,p,p,p,r,p,p,p
p,p,p,r,r,r,r,r,r,r,r,r,r,r,r,r,r,p,p,p
p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,t_2,p
p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,t_2,h_2,p
p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
