h_1,b_1,p,p,w,w,w,p,p,w,w,w,p,p,p,p
b_1,p,p,t,w,w,p,p,p,p,w,w,t,p,p,p
p,p,f,p,w,p,p,b,b,p,p,w,p,f,p,p
p,t,p,p,p,p,t,p,p,t,p,p,p,p,t,p
w,w,w,p,p,p,p,w,w,p,p,p,p,w,w,w
w,w,p,p,t,p,w,w,w,w,p,t,p,p,w,w
w,p,p,b,p,p,p,t,t,p,p,p,b,p,p,w
p,p,r,p,w,p,r,r,r,r,p,w,p,r,p,p
p,p,r,p,w,p,r,r,r,r,p,w,p,r,p,p
w,p,p,b,p,p,p,t,t,p,p,p,b,p,p,w
w,w,p,p,t,p,w,w,w,w,p,t,p,p,w,w
w,w,w,p,p,p,p,w,w,p,p,p,p,w,w,w
p,t,p,p,p,p,t,p,p,t,p,p,p,p,t,p
p,p,f,p,w,p,p,b,b,p,p,w,p,f,p,p
p,p,p,t,w,w,p,p,p,p,w,w,t,p,p,b_2
p,p,p,p,w,w,w,p,p,w,w,w,p,p,b_2,h_2
