m,m,m,m,m,m,p,p,p,p,m,m,m,m,m,m
m,m,h_1,b_1,p,p,p,t,p,p,p,b_2,h_2,m,m,m
m,m,b_1,p,p,f,p,p,p,f,p,p,b_2,m,m,m
m,m,p,p,t,p,p,r,p,p,t,p,p,m,m,m
m,p,p,f,p,p,r,r,r,p,p,f,p,p,m,m
p,p,t,p,m,m,r,b,r,m,m,p,t,p,p,m
p,p,p,m,m,m,r,t,r,m,m,m,p,p,p,m
p,r,r,r,r,r,r,p,r,r,r,r,r,r,p,m
p,r,r,r,r,r,r,p,r,r,r,r,r,r,p,m
p,p,p,m,m,m,r,t,r,m,m,m,p,p,p,m
p,p,t,p,m,m,r,b,r,m,m,p,t,p,p,m
m,p,p,f,p,p,r,r,r,p,p,f,p,p,m,m
m,m,p,p,t,p,p,r,p,p,t,p,p,m,m,m
m,m,b_1,p,p,f,p,p,p,f,p,p,b_2,m,m,m
m,m,b_1,p,p,p,p,t,p,p,p,p,b_2,m,m,m
m,m,m,m,m,m,p,p,p,p,m,m,m,m,m,m
